iter,mse
0,2418.2179245489147
100,26.56435646914259
200,10.492123139576464
300,9.316933202794832
400,8.388884954443594
500,7.565788059393926
600,6.833023524266995
700,6.179706827220652
800,5.5964470855634865
900,5.075063747536938
1000,4.608405260209203
1100,4.190205402853876
1200,3.814964752475403
1300,3.477850733121074
1400,3.1746122053768393
1500,2.901505883308565
1600,2.6552326221863405
1700,2.4328820793679022
1800,2.231884550443786
1900,2.0499689929693425
1999,1.886696339105807
