노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
1082,명성운수종점 - 내유동차고지(미정차),37,토당초등학교.우창프라자,0,0,64,0,0,45,67,67,26,0,21,29,48,26,0,7,0,0,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),38,능곡화원,0,0,0,0,64,0,0,95,0,0,0,0,43,0,0,21,0,0,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),39,맨돌,0,95,0,90,81,48,0,93,0,0,0,17,0,31,29,26,12,0,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),40,행주산성입구.행주내동,0,0,0,90,79,43,64,31,0,55,0,33,81,45,0,24,14,12,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),41,북로JC(미정차),0,0,0,90,79,43,64,31,0,55,0,33,81,45,0,24,14,12,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),42,남고양IC(미정차),0,0,0,90,79,43,64,31,0,55,0,33,81,45,0,24,14,12,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),43,가양대교북단(미정차),0,0,0,90,79,43,64,31,0,55,0,33,81,45,0,24,14,12,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),44,난지한강공원(미정차),0,0,0,90,79,43,64,31,0,55,0,33,81,45,0,24,14,12,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),45,성산대교북단(미정차),0,0,0,90,79,43,64,31,0,55,0,33,81,45,0,24,14,12,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),46,당산역.삼성래미안아파트,0,0,33,48,52,36,24,29,48,21,14,21,33,21,21,12,7,5,12,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),47,삼환아파트,0,0,31,38,45,26,19,26,36,14,12,19,26,14,24,10,0,0,7,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),48,영등포시장역4번출구,0,0,12,31,26,19,14,17,21,10,5,7,10,14,10,5,2,2,5,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),49,CM병원,0,0,2,7,10,2,10,10,12,19,17,29,24,29,76,31,38,22,21,17,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),50,청과시장교차로(미정차),0,0,2,7,10,2,10,10,12,19,17,29,24,29,76,31,38,22,21,17,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),51,영등포시장역3번출구,0,0,7,17,14,10,33,12,24,21,26,36,48,38,93,45,52,38,43,19,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),52,당산푸르지오아파트,0,0,0,19,0,12,17,0,26,26,31,38,55,57,98,55,55,50,55,24,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),53,당산역.삼성래미안아파트,0,0,19,36,45,24,45,26,33,45,48,74,93,83,93,95,90,100,98,50,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),54,양화대교북단(미정차),0,0,19,36,45,24,45,26,33,45,48,74,93,83,93,95,90,100,98,50,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),55,성산대교북단(미정차),0,0,19,36,45,24,45,26,33,45,48,74,93,83,93,95,90,100,98,50,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),56,난지한강공원(미정차),0,0,19,36,45,24,45,26,33,45,48,74,93,83,93,95,90,100,98,50,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),57,가양대교북단(미정차),0,0,19,36,45,24,45,26,33,45,48,74,93,83,93,95,90,100,98,50,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),58,남고양IC(미정차),0,0,19,36,45,24,45,26,33,45,48,74,93,83,93,95,90,100,98,50,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),59,북로JC(미정차),0,0,19,36,45,24,45,26,33,45,48,74,93,83,93,95,90,100,98,50,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),60,행주산성입구.행주내동,0,0,21,33,24,24,26,24,24,0,36,50,81,88,0,0,74,86,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),61,맨돌,0,0,2,0,43,0,26,29,0,48,52,0,79,0,78,0,71,0,0,40,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),62,능곡화원,0,0,0,18,0,0,21,0,0,0,0,0,83,0,90,0,0,79,0,43,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),63,토당초등학교.우창프라자,0,0,0,0,38,7,19,0,0,0,0,0,69,86,81,90,48,86,95,69,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),64,행신동삼거리.무원마을10단지,0,0,0,0,38,19,0,31,29,14,50,43,76,69,76,88,62,81,81,52,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),65,무원고교,0,0,24,10,36,0,24,0,24,17,24,38,62,62,74,83,55,79,79,50,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),66,소만초등학교.소만마을8단지,0,0,0,29,16,0,0,31,0,12,48,52,74,60,69,81,45,71,67,48,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),67,가라뫼,0,0,5,33,36,21,19,29,29,14,48,50,62,52,64,76,62,69,67,45,36,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),68,햇빛마을23단지,0,0,0,31,38,0,17,0,0,0,45,55,57,48,64,71,55,69,50,43,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),69,행신초교,0,0,0,26,33,14,26,26,19,12,40,40,48,43,60,62,55,73,60,40,33,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),70,햇빛18단지.롯데마트고양점,0,0,7,36,33,12,0,29,26,26,36,29,43,36,48,45,48,64,45,36,31,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),71,화정2동행정복지센터,0,0,0,36,29,24,0,21,0,26,33,9,40,38,45,55,45,62,36,33,24,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),72,근린공원,0,0,0,26,38,12,10,24,26,29,24,29,40,36,42,52,48,60,33,36,21,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),73,화정역.롯데마트,0,0,10,31,36,26,2,24,26,24,26,31,67,40,64,52,57,64,38,43,29,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),74,덕양구청,0,0,12,33,36,29,10,21,19,21,29,10,40,57,64,50,62,60,47,43,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),75,화정동단독주택단지,0,0,14,0,0,0,0,10,0,0,31,0,69,60,60,48,57,38,44,29,24,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),76,명지병원.은빛마을5단지,0,0,0,31,33,31,7,19,0,17,31,33,62,60,51,43,52,57,40,24,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),77,화정1동행정복지센터,0,0,0,29,19,29,0,14,0,17,26,31,62,33,47,38,50,50,38,38,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),78,고양어울림누리.달빛마을1단지,0,0,17,0,33,0,0,13,0,19,0,31,64,10,62,33,45,48,40,36,21,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),79,성사2동행정복지센터,0,0,0,31,29,26,0,17,0,14,0,33,62,57,60,36,45,0,29,12,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),80,고양시청,0,0,21,48,33,31,7,18,21,21,33,31,74,62,69,49,48,45,38,50,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),81,원릉역,0,0,0,0,31,0,0,0,0,17,0,0,14,57,0,36,45,0,33,12,19,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),82,윗배다리,0,0,26,29,29,33,0,14,10,24,14,33,60,45,74,47,45,40,36,17,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),83,부대앞,0,0,26,29,29,33,0,14,10,24,14,33,60,45,74,47,45,40,36,17,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),84,왕릉골,0,0,0,0,16,0,0,0,0,0,0,0,74,0,0,0,36,38,33,0,17,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),85,삼릉역,0,0,0,0,0,0,0,0,19,0,0,36,0,0,0,0,12,0,36,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),86,청대골,0,0,0,45,13,31,2,0,7,0,0,0,0,55,76,0,0,33,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),87,쥬쥬테마동물원,0,0,0,43,9,29,0,12,20,0,12,36,0,0,52,0,0,14,43,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),88,벽제교삼거리,0,0,0,45,26,0,0,0,10,0,31,0,62,0,74,49,43,0,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),89,관산삼거리,0,0,0,0,0,5,0,0,22,10,0,24,71,0,0,26,45,0,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),90,두포동.관산동성당,0,0,0,0,0,0,5,0,14,0,0,27,69,0,29,0,31,0,0,48,17,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),91,가장동,0,0,0,40,0,21,0,5,16,0,29,20,67,62,69,40,38,31,33,45,14,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),92,고골입구,0,0,0,36,19,19,2,2,17,2,24,16,43,50,60,62,31,26,29,12,12,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),93,서울시립고양병원입구,0,0,0,12,31,17,2,7,12,14,5,0,40,48,21,60,21,10,27,36,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),94,내유초등학교앞,0,0,0,12,26,0,5,0,0,0,0,13,38,45,29,57,29,29,0,0,12,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),95,윗내유동.희망양로원,0,0,0,7,17,0,0,0,0,5,21,11,38,33,21,36,19,21,21,26,10,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),96,중간내유동,0,0,0,0,0,0,0,0,9,0,17,9,36,29,0,29,14,14,14,24,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),97,내유동,0,0,0,2,10,7,2,0,2,0,0,0,31,14,10,24,0,14,19,21,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),98,신성슈퍼앞,0,0,0,2,0,0,0,0,2,2,2,7,2,24,21,21,14,7,17,19,7,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),99,명성운수종점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1082,명성운수종점 - 내유동차고지(미정차),100,내유동차고지(미정차),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,0,외국어대학교,0,0,0,0,0,4,10,14,26,19,52,57,38,13,30,12,10,15,15,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,1,외국어대학교(미정차),0,0,0,0,0,4,10,14,26,19,52,57,38,13,30,12,10,15,15,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,2,외국어대학교기숙사,0,0,2,0,2,5,0,7,13,11,30,62,33,22,20,0,12,19,17,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,3,외대.모현빌라,0,0,10,5,15,2,7,17,17,28,13,67,37,0,20,13,17,33,24,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,4,외국어대입구,0,0,14,11,22,7,10,17,28,39,17,0,39,24,21,17,24,20,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,5,외대사거리.왕산교,0,4,19,14,26,12,11,9,33,0,0,69,24,40,22,0,0,17,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,6,신안아파트,0,4,29,24,37,11,13,0,17,0,33,31,26,43,0,20,0,20,0,0,0,0,0,0,
1150,외국어대학교 - 한국외대종점,7,하마산.불영사,0,0,28,0,33,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
